Station,Type,Date,Statutory,Final,Attained,Year,Final_f,local_imperv
S-562,MACROINVERTEBRATE,2015-08-10,B,A,Yes,2015,A,0.143
S-221,MACROINVERTEBRATE,2015-08-11,B,B,Yes,2015,B,0.049
S-758,MACROINVERTEBRATE,2015-08-11,B,B,Yes,2015,B,0.077
S-759,MACROINVERTEBRATE,2015-08-11,B,B,Yes,2015,B,0.119
S-799,MACROINVERTEBRATE,2015-08-11,B,C,No,2015,C,0.029
S-72,MACROINVERTEBRATE,2015-08-17,C,B,Yes,2015,B,0.321
S-257,MACROINVERTEBRATE,2015-08-17,C,"NA",No,2015,"NA",0.307
S-219,MACROINVERTEBRATE,2015-08-26,C,"NA",No,2015,"NA",0.136
S-412,MACROINVERTEBRATE,2015-08-26,C,"NA",No,2015,"NA",0.136
S-675,MACROINVERTEBRATE,2015-08-26,C,"NA",No,2015,"NA",0.173
S-408,MACROINVERTEBRATE,2015-08-27,C,"NA",No,2015,"NA",0.576
S-816,MACROINVERTEBRATE,2017-08-24,B,"NA",No,2017,"NA",0.093
S-1126,MACROINVERTEBRATE,2017-08-30,B,"NA",No,2017,"NA",0.116
S-237,MACROINVERTEBRATE,2017-09-19,AA,A,Yes,2017,A,0.032
S-655,MACROINVERTEBRATE,2017-09-19,A,A,Yes,2017,A,0.005
S-656,MACROINVERTEBRATE,2017-09-19,A,A,Yes,2017,A,0.03
S-158,MACROINVERTEBRATE,2017-09-20,AA,A,Yes,2017,A,0.015
S-722,MACROINVERTEBRATE,2017-09-20,AA,A,Yes,2017,A,0.009
S-723,MACROINVERTEBRATE,2017-09-20,AA,A,Yes,2017,A,0.013
S-409,MACROINVERTEBRATE,2018-07-09,B,"NA",No,2018,"NA",0.226
S-411,MACROINVERTEBRATE,2018-07-09,B,"NA",No,2018,"NA",0.114
S-414,MACROINVERTEBRATE,2018-07-09,C,"NA",No,2018,"NA",0.426
S-415,MACROINVERTEBRATE,2018-07-09,C,"NA",No,2018,"NA",0.326
S-570,MACROINVERTEBRATE,2018-07-09,C,"NA",No,2018,"NA",0.326
S-752,MACROINVERTEBRATE,2018-07-09,C,"NA",No,2018,"NA",0.326
S-1015,MACROINVERTEBRATE,2018-07-09,C,"NA",No,2018,"NA",0.114
S-753,MACROINVERTEBRATE,2018-08-07,C,"NA",No,2018,"NA",0.576
S-497,MACROINVERTEBRATE,2018-08-30,B,"NA",No,2018,"NA",0.179
S-498,MACROINVERTEBRATE,2018-08-30,B,A,Yes,2018,A,0.179
